iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2013,6293.457,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2013,8299.135,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2013,5.731332,Albania,Europe,Southern Europe,41.0,20.0
ARE,2013,36.22222,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2013,418.1769,Argentina,Americas,South America,-34.0,-64.0
ARM,2013,82.47896,Armenia,Asia,Western Asia,40.0,45.0
ATG,2013,0.4377794,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2013,35.02561,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2013,47.97279,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2013,278.9151,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2013,1192.664,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2013,35.21755,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2013,622.4547,Benin,Africa,Western Africa,9.5,2.25
BFA,2013,1002.862,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2013,40340.78,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2013,123.861,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2013,4.13625,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2013,92.01104,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2013,452.5259,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2013,15.54589,Belize,Americas,Central America,17.25,-88.75
BOL,2013,810.1647,Bolivia,Americas,South America,-17.0,-65.0
BRA,2013,3820.189,Brazil,Americas,South America,-10.0,-55.0
BRB,2013,0.4850232,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2013,68.70671,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2013,223.1027,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2013,2308.064,Central African Republic,Africa,Middle Africa,7.0,21.0
CAN,2013,64.65539,Canada,Americas,Northern America,60.0,-95.0
CHE,2013,7.449268,Switzerland,Europe,Western Europe,47.0,8.0
CHL,2013,298.7192,Chile,Americas,South America,-30.0,-71.0
CHN,2013,32322.14,China,Asia,Eastern Asia,35.0,105.0
CMR,2013,4530.447,Cameroon,Africa,Middle Africa,6.0,12.0
COD,2013,25992.87,Democratic Republic of the Congo,Africa,Middle Africa,0.0,25.0
COL,2013,992.0982,Colombia,Americas,South America,4.0,-72.0
COM,2013,38.84357,Comoros,Africa,Eastern Africa,-12.1667,44.25
CRI,2013,33.36808,Costa Rica,Americas,Central America,10.0,-84.0
CUB,2013,36.56616,Cuba,Americas,Caribbean,21.5,-80.0
CYP,2013,0.3943782,Cyprus,Europe,Southern Europe,35.0,33.0
DEU,2013,233.3876,Germany,Europe,Western Europe,51.0,9.0
DJI,2013,201.0262,Djibouti,Africa,Eastern Africa,11.5,43.0
DNK,2013,9.855374,Denmark,Europe,Northern Europe,56.0,10.0
DOM,2013,338.1122,Dominican Republic,Americas,Caribbean,19.0,-70.6667
DZA,2013,1633.92,Algeria,Africa,Northern Africa,28.0,3.0
ECU,2013,405.5616,Ecuador,Americas,South America,-2.0,-77.5
EGY,2013,206.5101,Egypt,Africa,Northern Africa,27.0,30.0
ERI,2013,438.2689,Eritrea,Africa,Eastern Africa,15.0,39.0
ESP,2013,197.6874,Spain,Europe,Southern Europe,40.0,-4.0
EST,2013,19.6229,Estonia,Europe,Northern Europe,59.0,26.0
ETH,2013,19153.89,Ethiopia,Africa,Eastern Africa,8.0,38.0
FIN,2013,16.29024,Finland,Europe,Northern Europe,64.0,26.0
FJI,2013,19.94141,Fiji,Oceania,Melanesia,-18.0,175.0
FRA,2013,273.9845,France,Europe,Western Europe,46.0,2.0
GAB,2013,1193.641,Gabon,Africa,Middle Africa,-1.0,11.75
GBR,2013,207.0879,United Kingdom,Europe,Northern Europe,54.0,-2.0
GEO,2013,132.8893,Georgia,Asia,Western Asia,42.0,43.5
