iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2018,4859.772,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2018,10882.47,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2018,5.689779,Albania,Europe,Southern Europe,41.0,20.0
ARE,2018,37.92764,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2018,449.2664,Argentina,Americas,South America,-34.0,-64.0
ARM,2018,18.6987,Armenia,Asia,Western Asia,40.0,45.0
ATG,2018,0.3680277,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2018,30.66646,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2018,29.96109,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2018,374.222,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2018,1337.701,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2018,27.94874,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2018,624.492,Benin,Africa,Western Africa,9.5,2.25
BFA,2018,971.9594,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2018,26312.49,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2018,73.05999,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2018,5.611205,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2018,62.11815,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2018,186.3265,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2018,7.426304,Belize,Americas,Central America,17.25,-88.75
BOL,2018,737.5624,Bolivia,Americas,South America,-17.0,-65.0
BRA,2018,3494.995,Brazil,Americas,South America,-10.0,-55.0
BRB,2018,0.4823441,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2018,60.45875,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2018,224.2231,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2018,2873.095,Central African Republic,Africa,Middle Africa,7.0,21.0
