iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2008,5067.043,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2008,8108.714,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2008,10.66109,Albania,Europe,Southern Europe,41.0,20.0
ARE,2008,34.43813,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2008,458.2695,Argentina,Americas,South America,-34.0,-64.0
ARM,2008,162.3885,Armenia,Asia,Western Asia,40.0,45.0
ATG,2008,0.6116565,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2008,31.28034,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2008,28.6304,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2008,321.8238,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2008,1251.446,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2008,50.66001,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2008,534.2127,Benin,Africa,Western Africa,9.5,2.25
BFA,2008,1061.112,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2008,43374.69,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2008,179.3498,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2008,5.272267,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2008,120.2413,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2008,691.0175,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2008,16.21395,Belize,Americas,Central America,17.25,-88.75
BOL,2008,994.0501,Bolivia,Americas,South America,-17.0,-65.0
BRA,2008,4183.484,Brazil,Americas,South America,-10.0,-55.0
BRB,2008,0.8991568,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2008,60.96147,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2008,267.482,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2008,2154.199,Central African Republic,Africa,Middle Africa,7.0,21.0
CAN,2008,65.62784,Canada,Americas,Northern America,60.0,-95.0
CHE,2008,17.36366,Switzerland,Europe,Western Europe,47.0,8.0
CHL,2008,301.678,Chile,Americas,South America,-30.0,-71.0
CHN,2008,42569.69,China,Asia,Eastern Asia,35.0,105.0
CMR,2008,4901.452,Cameroon,Africa,Middle Africa,6.0,12.0
COD,2008,22986.6,Democratic Republic of the Congo,Africa,Middle Africa,0.0,25.0
COL,2008,1091.839,Colombia,Americas,South America,4.0,-72.0
COM,2008,27.51614,Comoros,Africa,Eastern Africa,-12.1667,44.25
CRI,2008,47.68304,Costa Rica,Americas,Central America,10.0,-84.0
CUB,2008,38.46793,Cuba,Americas,Caribbean,21.5,-80.0
CYP,2008,1.215727,Cyprus,Europe,Southern Europe,35.0,33.0
DEU,2008,226.9207,Germany,Europe,Western Europe,51.0,9.0
DJI,2008,266.5546,Djibouti,Africa,Eastern Africa,11.5,43.0
DNK,2008,12.1785,Denmark,Europe,Northern Europe,56.0,10.0
DOM,2008,480.6843,Dominican Republic,Americas,Caribbean,19.0,-70.6667
