iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2016,5369.93,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2016,9724.8,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2016,5.697066,Albania,Europe,Southern Europe,41.0,20.0
ARE,2016,36.86439,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2016,445.216,Argentina,Americas,South America,-34.0,-64.0
ARM,2016,47.37353,Armenia,Asia,Western Asia,40.0,45.0
ATG,2016,0.3826525,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2016,24.70347,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2016,26.30228,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2016,366.192,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2016,1247.286,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2016,16.52616,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2016,630.0593,Benin,Africa,Western Africa,9.5,2.25
BFA,2016,1024.314,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2016,34620.97,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2016,107.8411,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2016,5.097625,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2016,72.01159,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2016,270.4213,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2016,6.787421,Belize,Americas,Central America,17.25,-88.75
BOL,2016,767.4838,Bolivia,Americas,South America,-17.0,-65.0
BRA,2016,3540.531,Brazil,Americas,South America,-10.0,-55.0
BRB,2016,0.493305,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2016,76.45352,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2016,204.8949,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2016,2671.418,Central African Republic,Africa,Middle Africa,7.0,21.0
CAN,2016,61.08475,Canada,Americas,Northern America,60.0,-95.0
CHE,2016,14.85787,Switzerland,Europe,Western Europe,47.0,8.0
CHL,2016,241.1156,Chile,Americas,South America,-30.0,-71.0
CHN,2016,29286.7,China,Asia,Eastern Asia,35.0,105.0
CMR,2016,4273.117,Cameroon,Africa,Middle Africa,6.0,12.0
COD,2016,28326.29,Democratic Republic of the Congo,Africa,Middle Africa,0.0,25.0
COL,2016,1005.744,Colombia,Americas,South America,4.0,-72.0
COM,2016,33.91297,Comoros,Africa,Eastern Africa,-12.1667,44.25
CRI,2016,26.09597,Costa Rica,Americas,Central America,10.0,-84.0
CUB,2016,35.48266,Cuba,Americas,Caribbean,21.5,-80.0
CYP,2016,2.829201,Cyprus,Europe,Southern Europe,35.0,33.0
DEU,2016,195.572,Germany,Europe,Western Europe,51.0,9.0
DJI,2016,200.2392,Djibouti,Africa,Eastern Africa,11.5,43.0
DNK,2016,15.78533,Denmark,Europe,Northern Europe,56.0,10.0
DOM,2016,241.447,Dominican Republic,Americas,Caribbean,19.0,-70.6667
DZA,2016,1798.187,Algeria,Africa,Northern Africa,28.0,3.0
ECU,2016,430.9076,Ecuador,Americas,South America,-2.0,-77.5
EGY,2016,290.3951,Egypt,Africa,Northern Africa,27.0,30.0
ERI,2016,341.7432,Eritrea,Africa,Eastern Africa,15.0,39.0
ESP,2016,146.3951,Spain,Europe,Southern Europe,40.0,-4.0
EST,2016,22.15226,Estonia,Europe,Northern Europe,59.0,26.0
ETH,2016,14575.25,Ethiopia,Africa,Eastern Africa,8.0,38.0
FIN,2016,17.0969,Finland,Europe,Northern Europe,64.0,26.0
FJI,2016,21.98712,Fiji,Oceania,Melanesia,-18.0,175.0
FRA,2016,223.0679,France,Europe,Western Europe,46.0,2.0
GAB,2016,888.608,Gabon,Africa,Middle Africa,-1.0,11.75
GBR,2016,182.5941,United Kingdom,Europe,Northern Europe,54.0,-2.0
GEO,2016,114.2891,Georgia,Asia,Western Asia,42.0,43.5
GHA,2016,6043.853,Ghana,Africa,Western Africa,8.0,-2.0
GIN,2016,1753.099,Guinea,Africa,Western Africa,11.0,-10.0
GNB,2016,786.7102,Guinea-Bissau,Africa,Western Africa,12.0,-15.0
GNQ,2016,101.065,Equatorial Guinea,Africa,Middle Africa,2.0,10.0
GRC,2016,32.98949,Greece,Europe,Southern Europe,39.0,22.0
GRD,2016,1.253803,Grenada,Americas,Caribbean,12.1167,-61.6667
GTM,2016,218.1165,Guatemala,Americas,Central America,15.5,-90.25
GUY,2016,93.58767,Guyana,Americas,South America,5.0,-59.0
HND,2016,232.0794,Honduras,Americas,Central America,15.0,-86.5
HRV,2016,39.25018,Croatia,Europe,Southern Europe,45.1667,15.5
HTI,2016,584.8035,Haiti,Americas,Caribbean,19.0,-72.4167
HUN,2016,48.74674,Hungary,Europe,Eastern Europe,47.0,20.0
IDN,2016,52942.88,Indonesia,Asia,South-Eastern Asia,-5.0,120.0
IND,2016,275715.8,India,Asia,Southern Asia,20.0,77.0
IRL,2016,11.84846,Ireland,Europe,Northern Europe,53.0,-8.0
IRN,2016,490.3723,Iran,Asia,Southern Asia,32.0,53.0
IRQ,2016,500.7105,Iraq,Asia,Western Asia,33.0,44.0
