iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2000,6370.347,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2000,7242.015,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2000,15.42311,Albania,Europe,Southern Europe,41.0,20.0
ARE,2000,12.12104,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2000,585.7459,Argentina,Americas,South America,-34.0,-64.0
ARM,2000,139.0666,Armenia,Asia,Western Asia,40.0,45.0
ATG,2000,0.406432,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2000,32.35724,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2000,48.76238,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2000,985.315,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2000,1893.482,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2000,72.76267,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2000,715.2653,Benin,Africa,Western Africa,9.5,2.25
BFA,2000,1254.043,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2000,51551.43,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2000,218.2611,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2000,11.53959,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2000,114.9796,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2000,586.9845,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2000,7.542749,Belize,Americas,Central America,17.25,-88.75
BOL,2000,1504.936,Bolivia,Americas,South America,-17.0,-65.0
BRA,2000,5479.554,Brazil,Americas,South America,-10.0,-55.0
BRB,2000,0.0,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2000,74.04198,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2000,429.1094,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2000,1759.502,Central African Republic,Africa,Middle Africa,7.0,21.0
CAN,2000,83.22041,Canada,Americas,Northern America,60.0,-95.0
CHE,2000,26.49689,Switzerland,Europe,Western Europe,47.0,8.0
CHL,2000,359.9948,Chile,Americas,South America,-30.0,-71.0
CHN,2000,73252.0,China,Asia,Eastern Asia,35.0,105.0
CMR,2000,5883.865,Cameroon,Africa,Middle Africa,6.0,12.0
COD,2000,16733.75,Democratic Republic of the Congo,Africa,Middle Africa,0.0,25.0
COL,2000,1089.734,Colombia,Americas,South America,4.0,-72.0
