iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2005,5458.54,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2005,7682.723,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2005,8.069087,Albania,Europe,Southern Europe,41.0,20.0
ARE,2005,17.74501,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2005,508.0186,Argentina,Americas,South America,-34.0,-64.0
ARM,2005,153.4281,Armenia,Asia,Western Asia,40.0,45.0
ATG,2005,0.4191879,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2005,31.60278,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2005,30.35968,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2005,504.1302,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2005,1542.119,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2005,64.94076,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2005,605.8122,Benin,Africa,Western Africa,9.5,2.25
BFA,2005,1154.439,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2005,46882.89,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2005,222.9914,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2005,6.950639,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2005,120.7741,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2005,792.6164,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2005,5.817626,Belize,Americas,Central America,17.25,-88.75
BOL,2005,1131.381,Bolivia,Americas,South America,-17.0,-65.0
BRA,2005,4379.998,Brazil,Americas,South America,-10.0,-55.0
BRB,2005,1.666621,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2005,64.57289,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2005,255.0559,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2005,2493.385,Central African Republic,Africa,Middle Africa,7.0,21.0
CAN,2005,70.98871,Canada,Americas,Northern America,60.0,-95.0
CHE,2005,16.34329,Switzerland,Europe,Western Europe,47.0,8.0
CHL,2005,393.8569,Chile,Americas,South America,-30.0,-71.0
CHN,2005,57211.68,China,Asia,Eastern Asia,35.0,105.0
CMR,2005,5270.815,Cameroon,Africa,Middle Africa,6.0,12.0
COD,2005,17189.98,Democratic Republic of the Congo,Africa,Middle Africa,0.0,25.0
COL,2005,1014.629,Colombia,Americas,South America,4.0,-72.0
COM,2005,32.17056,Comoros,Africa,Eastern Africa,-12.1667,44.25
CRI,2005,52.81798,Costa Rica,Americas,Central America,10.0,-84.0
CUB,2005,32.45486,Cuba,Americas,Caribbean,21.5,-80.0
CYP,2005,4.463929,Cyprus,Europe,Southern Europe,35.0,33.0
DEU,2005,262.2972,Germany,Europe,Western Europe,51.0,9.0
DJI,2005,176.9155,Djibouti,Africa,Eastern Africa,11.5,43.0
DNK,2005,18.7444,Denmark,Europe,Northern Europe,56.0,10.0
DOM,2005,484.6657,Dominican Republic,Americas,Caribbean,19.0,-70.6667
DZA,2005,1693.857,Algeria,Africa,Northern Africa,28.0,3.0
ECU,2005,824.2524,Ecuador,Americas,South America,-2.0,-77.5
EGY,2005,670.2883,Egypt,Africa,Northern Africa,27.0,30.0
ERI,2005,488.7626,Eritrea,Africa,Eastern Africa,15.0,39.0
ESP,2005,346.8221,Spain,Europe,Southern Europe,40.0,-4.0
EST,2005,43.37704,Estonia,Europe,Northern Europe,59.0,26.0
ETH,2005,26838.0,Ethiopia,Africa,Eastern Africa,8.0,38.0
FIN,2005,41.65998,Finland,Europe,Northern Europe,64.0,26.0
FJI,2005,16.92215,Fiji,Oceania,Melanesia,-18.0,175.0
FRA,2005,460.0208,France,Europe,Western Europe,46.0,2.0
GAB,2005,892.7183,Gabon,Africa,Middle Africa,-1.0,11.75
GBR,2005,259.8602,United Kingdom,Europe,Northern Europe,54.0,-2.0
GEO,2005,144.2043,Georgia,Asia,Western Asia,42.0,43.5
GHA,2005,6091.736,Ghana,Africa,Western Africa,8.0,-2.0
GIN,2005,2591.255,Guinea,Africa,Western Africa,11.0,-10.0
GNB,2005,518.5355,Guinea-Bissau,Africa,Western Africa,12.0,-15.0
