iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2004,5735.92,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2004,6964.137,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2004,17.64977,Albania,Europe,Southern Europe,41.0,20.0
ARE,2004,15.73527,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2004,495.8149,Argentina,Americas,South America,-34.0,-64.0
ARM,2004,151.3669,Armenia,Asia,Western Asia,40.0,45.0
ATG,2004,0.3961001,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2004,33.61783,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2004,28.10732,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2004,636.5576,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2004,1626.286,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2004,48.24817,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2004,641.6364,Benin,Africa,Western Africa,9.5,2.25
BFA,2004,1253.309,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2004,51393.44,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2004,209.3012,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2004,6.906758,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2004,120.0329,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2004,821.8026,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2004,7.985335,Belize,Americas,Central America,17.25,-88.75
BOL,2004,1180.831,Bolivia,Americas,South America,-17.0,-65.0
BRA,2004,4734.991,Brazil,Americas,South America,-10.0,-55.0
BRB,2004,1.720519,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2004,63.7323,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2004,288.6743,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2004,2389.183,Central African Republic,Africa,Middle Africa,7.0,21.0
CAN,2004,59.05808,Canada,Americas,Northern America,60.0,-95.0
CHE,2004,14.45087,Switzerland,Europe,Western Europe,47.0,8.0
CHL,2004,437.858,Chile,Americas,South America,-30.0,-71.0
CHN,2004,61948.58,China,Asia,Eastern Asia,35.0,105.0
CMR,2004,5913.172,Cameroon,Africa,Middle Africa,6.0,12.0
COD,2004,17870.99,Democratic Republic of the Congo,Africa,Middle Africa,0.0,25.0
COL,2004,1135.855,Colombia,Americas,South America,4.0,-72.0
COM,2004,36.76517,Comoros,Africa,Eastern Africa,-12.1667,44.25
CRI,2004,59.69819,Costa Rica,Americas,Central America,10.0,-84.0
CUB,2004,31.41905,Cuba,Americas,Caribbean,21.5,-80.0
CYP,2004,4.536021,Cyprus,Europe,Southern Europe,35.0,33.0
DEU,2004,295.5614,Germany,Europe,Western Europe,51.0,9.0
DJI,2004,168.4343,Djibouti,Africa,Eastern Africa,11.5,43.0
DNK,2004,20.29028,Denmark,Europe,Northern Europe,56.0,10.0
DOM,2004,608.6392,Dominican Republic,Americas,Caribbean,19.0,-70.6667
DZA,2004,1583.245,Algeria,Africa,Northern Africa,28.0,3.0
ECU,2004,774.2202,Ecuador,Americas,South America,-2.0,-77.5
EGY,2004,641.2915,Egypt,Africa,Northern Africa,27.0,30.0
ERI,2004,579.6439,Eritrea,Africa,Eastern Africa,15.0,39.0
ESP,2004,313.8213,Spain,Europe,Southern Europe,40.0,-4.0
EST,2004,87.22225,Estonia,Europe,Northern Europe,59.0,26.0
ETH,2004,28116.95,Ethiopia,Africa,Eastern Africa,8.0,38.0
FIN,2004,33.88891,Finland,Europe,Northern Europe,64.0,26.0
FJI,2004,19.66746,Fiji,Oceania,Melanesia,-18.0,175.0
FRA,2004,455.0313,France,Europe,Western Europe,46.0,2.0
GAB,2004,982.1982,Gabon,Africa,Middle Africa,-1.0,11.75
GBR,2004,250.4874,United Kingdom,Europe,Northern Europe,54.0,-2.0
GEO,2004,183.795,Georgia,Asia,Western Asia,42.0,43.5
GHA,2004,6144.928,Ghana,Africa,Western Africa,8.0,-2.0
GIN,2004,2510.209,Guinea,Africa,Western Africa,11.0,-10.0
GNB,2004,489.6699,Guinea-Bissau,Africa,Western Africa,12.0,-15.0
GNQ,2004,35.98327,Equatorial Guinea,Africa,Middle Africa,2.0,10.0
GRC,2004,59.20546,Greece,Europe,Southern Europe,39.0,22.0
GRD,2004,1.642085,Grenada,Americas,Caribbean,12.1167,-61.6667
GTM,2004,262.8603,Guatemala,Americas,Central America,15.5,-90.25
GUY,2004,88.7124,Guyana,Americas,South America,5.0,-59.0
HND,2004,247.536,Honduras,Americas,Central America,15.0,-86.5
HRV,2004,104.175,Croatia,Europe,Southern Europe,45.1667,15.5
HTI,2004,715.1621,Haiti,Americas,Caribbean,19.0,-72.4167
HUN,2004,225.1881,Hungary,Europe,Eastern Europe,47.0,20.0
IDN,2004,64473.17,Indonesia,Asia,South-Eastern Asia,-5.0,120.0
IND,2004,353052.2,India,Asia,Southern Asia,20.0,77.0
IRL,2004,14.41771,Ireland,Europe,Northern Europe,53.0,-8.0
IRN,2004,409.3346,Iran,Asia,Southern Asia,32.0,53.0
IRQ,2004,747.9856,Iraq,Asia,Western Asia,33.0,44.0
ISL,2004,0.9940363,Iceland,Europe,Northern Europe,65.0,-18.0
ISR,2004,25.21636,Israel,Asia,Western Asia,31.5,34.75
ITA,2004,253.2644,Italy,Europe,Southern Europe,42.8333,12.8333
JAM,2004,19.48599,Jamaica,Americas,Caribbean,18.25,-77.5
JOR,2004,12.85322,Jordan,Asia,Western Asia,31.0,36.0
JPN,2004,2776.6,Japan,Asia,Eastern Asia,36.0,138.0
KAZ,2004,2774.435,Kazakhstan,Asia,Central Asia,48.0,68.0
KEN,2004,18601.54,Kenya,Africa,Eastern Africa,1.0,38.0
KGZ,2004,635.6196,Kyrgyzstan,Asia,Central Asia,41.0,75.0
KHM,2004,2798.291,Cambodia,Asia,South-Eastern Asia,13.0,105.0
KIR,2004,25.02202,Kiribati,Oceania,Micronesia,1.4167,173.0
KOR,2004,2431.258,South Korea,Asia,Eastern Asia,37.0,127.5
KWT,2004,23.85493,Kuwait,Asia,Western Asia,29.3375,47.6581
LAO,2004,3500.504,Lao People's Democratic Republic,Asia,South-Eastern Asia,18.0,105.0
LBN,2004,13.64993,Lebanon,Asia,Western Asia,33.8333,35.8333
LBR,2004,742.6564,Liberia,Africa,Western Africa,6.5,-9.5
LBY,2004,195.1646,Libya,Africa,Northern Africa,25.0,17.0
LCA,2004,3.557186,Saint Lucia,Americas,Caribbean,13.8833,-61.1333
LKA,2004,856.2404,Sri Lanka,Asia,Southern Asia,7.0,81.0
LSO,2004,1125.296,Lesotho,Africa,Southern Africa,-29.5,28.5
LTU,2004,270.9629,Lithuania,Europe,Northern Europe,56.0,24.0
